Gaming_and_bating_ofense
3
3
6
8
4
7
5
2
3
4
2
5
5
5
7
11
10
15
11
12
10
11
12
18
28
3
6
7
3
6
4
5
4
4
3
2
1
6
0
3
5
1
1
1
5
3
1
1
1
1
2
1
0
3
1
1
1
1
1
0
0
2
3
0
0
2
1
0
0
1
0
1
1
1
1
0
0
0
1
1
6
4
7
3
0
3
2
12
2
1
4
7
3
6
21
14
3
6
40
22
31
5
6
14
8
8
11
14
8
4
5
7
13
33
28
50
11
13
16
23
8
11
6
18
10
9
19
13
7
9
2
22
14
9
27
42
42
49
9
44
21
14
88
36
19
26
51
23
22
34
31
39
19
13
31
21
14
37
44
20
30
38
11
39
6
30
21
21
33
21
34
13
20
34
20
33
33
34
8
62
18
12
9
8
4
5
33
30
27
42
13
30
5
2
10
10
15
17
7
13
7
5
15
23
14
12
13
25
7
5
7
9
9
2
2
20
9
5
7
11
5
10
8
7
5
10
6
7
9
7
11
6
11
19
7
2
9
16
4
14
8
4
5
19
2
2
2
4
6
4
4
5
47
38
30
5
2
6
25
10
2
6
5
12
18
5
2
9
2
3
4
4
2
5
5
21
4
1
7
13
21
2
12
6
10
4
7
30
44
11
24
13
6
12
10
3
3
4
6
9
12
4
4
1
2
4
4
4
5
9
11
13
6
11
6
4
9
2
2
3
0
6
6
2
18
17
2
10
2
12
4
8
11
7
18
10
15
17
4
11
7
2
